lon,lat,ken,address,H27,H28,H29,H28D,H29F
139.556018055556,36.1726669444444,埼玉,羽生市東８丁目１５番４,30900,29900,29200,-3.23624595469256,-2.34113712374582
139.556161111111,35.999695,埼玉,桶川市泉１−１０−３３,108000,108000,108000,0,0
139.557191944444,35.797125,埼玉,新座市野火止３−８−８,177000,178000,179000,0.564971751412429,0.561797752808989
139.558103055556,36.011425,埼玉,桶川市大字加納字堀切４番１６外,80700,80700,80700,0,0
139.558188888889,36.0048469444444,埼玉,桶川市西２−２−７,109000,109000,109000,0,0
139.558413055556,35.9928888888889,埼玉,桶川市鴨川２−５−３,123000,123000,123000,0,0
139.558425,35.9500811111111,埼玉,上尾市大字上野字三塚８３番１６,81000,81000,81000,0,0
139.559691944444,35.7654,埼玉,新座市野寺２−４−２７,155000,155000,155000,0,0
139.560431111111,35.80282,埼玉,新座市野火止６−４−２,247000,249000,250000,0.809716599190283,0.401606425702811
139.56059,35.8192369444444,埼玉,新座市新座１−１３−１４,189000,189000,190000,0,0.529100529100529
139.56128,35.8162919444444,埼玉,新座市北野２−１０−２３,225000,225000,227000,0,0.888888888888889
139.561566944444,35.9192888888889,埼玉,さいたま市西区大字宝来字上横手１４５７番９,0,0,117000,Nan,Nan
139.563008888889,35.96646,埼玉,上尾市大字小敷谷字大久保８８０番６４,118000,118000,118000,0,0
139.563201944444,35.8025261111111,埼玉,新座市野火止６−５−１０,218000,219000,221000,0.458715596330275,0.91324200913242
139.563478055556,35.9997369444444,埼玉,桶川市寿１−５−２,149000,149000,149000,0,0
139.563803888889,36.0055011111111,埼玉,桶川市北１−１２−１３,113000,113000,113000,0,0
139.564628888889,36.0021780555556,埼玉,桶川市寿２−３−３,121000,121000,121000,0,0
139.564821111111,35.9885461111111,埼玉,桶川市朝日３−２７−２０,0,107000,107000,Nan,0
139.564901944444,35.982575,埼玉,上尾市中妻４丁目２２番２４,114000,114000,114000,0,0
139.565211111111,35.8211469444444,埼玉,志木市幸町４−１−４,257000,258000,259000,0.389105058365759,0.387596899224806
139.566358888889,36.0310561111111,埼玉,桶川市赤堀２丁目４番２,0,0,44000,Nan,Nan
139.566554444444,35.7667511111111,埼玉,新座市片山２−１１−１６,154000,154000,154000,0,0
139.567078055556,36.0031608333333,埼玉,桶川市寿２−１３−２１,122000,122000,122000,0,0
139.567131944444,35.8308419444444,埼玉,志木市柏町６−８−２３,233000,233000,234000,0,0.429184549356223
139.567228888889,35.9194169444444,埼玉,さいたま市西区大字指扇領別所字滝沼３０４番２,126000,128000,129000,1.58730158730159,0.78125
139.567718055556,35.9124,埼玉,さいたま市西区大字土屋字上谷４３６番７１,113000,114000,114000,0.884955752212389,0
139.56796,35.8077330555556,埼玉,新座市野火止６−２３−３１,189000,189000,190000,0,0.529100529100529
139.567966944444,35.8114861111111,埼玉,新座市東１−４−１３,216000,217000,219000,0.462962962962963,0.921658986175115
139.568103888889,36.0144469444444,埼玉,桶川市大字坂田字堀ノ内１４１７番８,73300,73300,73300,0,0
139.568135,35.9469419444444,埼玉,上尾市大字平方領々家字東谷１３０番３,25700,25500,25400,-0.778210116731518,-0.392156862745098
139.569198888889,35.8221719444444,埼玉,志木市幸町１−８−７１,277000,278000,281000,0.36101083032491,1.07913669064748
139.56956,36.0052580555556,埼玉,桶川市末広２−６−２４,98000,98000,98000,0,0
139.569726111111,35.79473,埼玉,新座市野火止１−１２−１４,165000,166000,167000,0.606060606060606,0.602409638554217
139.571306944444,36.104215,埼玉,加須市騎西字新田脇５５番１５,29600,28700,28100,-3.04054054054054,-2.09059233449477
139.571326944444,35.9760127777778,埼玉,上尾市浅間台３丁目３３番１１,120000,120000,120000,0,0
139.571593888889,35.9659102777778,埼玉,上尾市大字今泉字西１５２番６,0,120000,120000,Nan,0
139.571595,35.8336338888889,埼玉,志木市柏町２−２７−４,213000,213000,215000,0,0.938967136150235
139.572216111111,35.8171019444444,埼玉,新座市東北２−１３−２６,346000,347000,350000,0.289017341040462,0.864553314121038
139.5723575,35.8304894444444,埼玉,志木市柏町４−８−４０,240000,240000,243000,0,1.25
139.572445,35.7782161111111,埼玉,新座市馬場３−９−４９,131000,131000,131000,0,0
139.572716111111,36.00239,埼玉,上尾市大字上字堤上１６５８番４,101000,101000,101000,0,0
139.572856944444,35.8160469444444,埼玉,新座市東北２−７−６,290000,295000,299000,1.72413793103448,1.35593220338983
139.573906944444,35.9943319444444,埼玉,上尾市大字上字町谷１０２番１６,104000,104000,104000,0,0
139.574088888889,35.769795,埼玉,新座市池田４−４−８,145000,145000,145000,0,0
139.574223055556,36.1008069444444,埼玉,加須市騎西字町裏３８番１０,32500,32200,31900,-0.923076923076923,-0.93167701863354
139.574633055556,35.8106738888889,埼玉,朝霞市三原５−７−６９,187000,188000,189000,0.53475935828877,0.531914893617021
139.574841388889,35.8211938888889,埼玉,新座市東北２−３６−２４,618000,623000,627000,0.809061488673139,0.642054574638844
139.575341111111,35.7952919444444,埼玉,新座市畑中３−１−１３,148000,148000,148000,0,0
139.575523888889,35.908405,埼玉,さいたま市西区プラザ２３−５,118000,118000,118000,0,0
139.575781111111,35.8391419444444,埼玉,富士見市水谷東２−４９−９,131000,132000,133000,0.763358778625954,0.757575757575758
139.575968888889,35.8235438888889,埼玉,志木市本町５−２４−７,485000,486000,488000,0.206185567010309,0.411522633744856
139.576023055556,35.8987580555556,埼玉,さいたま市西区大字二ツ宮字後谷７５８番１,44800,44700,44600,-0.223214285714286,-0.223713646532438
139.576851944444,35.8298569444444,埼玉,志木市本町６−３−１５,274000,275000,278000,0.364963503649635,1.09090909090909
139.577956944444,35.9857388888889,埼玉,上尾市原新町１５−１４,211000,212000,212000,0.4739336492891,0
139.578166111111,36.09454,埼玉,加須市鴻茎３２０５番１,37300,38200,39400,2.41286863270777,3.1413612565445
139.578221944444,35.9578969444444,埼玉,上尾市向山２丁目２０番１１,117000,117000,117000,0,0
139.57824,35.9148633333333,埼玉,さいたま市西区大字指扇字下郷１８８４番４１,0,125000,125000,Nan,0
139.5783,35.8149469444444,埼玉,朝霞市三原２−２４−５,239000,240000,242000,0.418410041841004,0.833333333333333
139.57892,36.0116911111111,埼玉,桶川市坂田東１丁目３８番２,75900,75900,75900,0,0
139.580203888889,35.9694688888889,埼玉,上尾市柏座４−７−３４,135000,135000,135000,0,0
139.580293055556,35.9797980555556,埼玉,上尾市春日１丁目３８番４,146000,146000,146000,0,0
139.580451111111,35.8428361111111,埼玉,志木市上宗岡１−６−４０,152000,152000,152000,0,0
139.580883888889,35.9822711111111,埼玉,上尾市緑丘１−２−２９,130000,130000,130000,0,0
139.581976944444,35.9866538888889,埼玉,上尾市緑丘３−７−１２,138000,138000,138000,0,0
139.582728055556,35.776245,埼玉,新座市栄３−６−２,182000,182000,182000,0,0
139.58292,36.0973219444444,埼玉,加須市鴻茎字立山１５番９,28700,27800,27300,-3.13588850174216,-1.79856115107914
139.582923055556,36.0595488888889,埼玉,久喜市菖蒲町小林字北東３４２６番３,15900,15800,15700,-0.628930817610063,-0.632911392405063
139.583233055556,35.8275588888889,埼玉,朝霞市宮戸３−８−３０,194000,195000,196000,0.515463917525773,0.512820512820513
139.583831111111,36.184,埼玉,羽生市大字弥勒字西村１１４８番,11100,10900,10700,-1.8018018018018,-1.8348623853211
139.584098055556,35.7966380555556,埼玉,朝霞市膝折町１−４−２５,169000,169000,170000,0,0.591715976331361
139.584328055556,35.9716961111111,埼玉,上尾市柏座２−５−１０,175000,175000,175000,0,0
139.584528055556,35.8214888888889,埼玉,朝霞市朝志ケ丘３−４−３４,249000,251000,254000,0.803212851405622,1.19521912350598
139.584576111111,35.9106638888889,埼玉,さいたま市西区大字指扇字五味貝戸４６９番２,96800,96800,96800,0,0
139.584635,35.97016,埼玉,上尾市谷津２−７−７,146000,146000,146000,0,0
139.585333888889,36.1276480555556,埼玉,加須市礼羽４１９番１４,0,0,35600,Nan,Nan
139.585483055556,35.9553419444444,埼玉,上尾市大字大谷本郷字後耕地７５５番１３,85500,85500,85500,0,0
139.586216111111,35.8114480555556,埼玉,朝霞市東弁財２−５−２６,294000,297000,301000,1.02040816326531,1.34680134680135
139.586236111111,35.7923061111111,埼玉,朝霞市幸町２−１１−１９,186000,187000,188000,0.537634408602151,0.53475935828877
139.586358888889,35.8138780555556,埼玉,朝霞市東弁財１−３−９,459000,461000,463000,0.435729847494553,0.433839479392625
139.586546111111,35.9731988888889,埼玉,上尾市谷津２−１−３７,326000,327000,327000,0.306748466257669,0
139.587093888889,35.9661041666667,埼玉,上尾市富士見１−８−１６,0,128000,128000,Nan,0
139.587413888889,35.9920738888889,埼玉,上尾市上平中央３丁目２４番７外,118000,119000,119000,0.847457627118644,0
